epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5278,2.18788,4.37337,1.25099,0.01948,0.1622,0.03974,0.02231,2.116,4.27842,1.07769,0.000191739,0.000191739,0.000191739
2,40.5712,2.15536,3.72967,1.10189,0.03947,0.17838,0.06547,0.03783,2.10251,3.73727,1.06612,0.00038582,0.00038582,0.00038582
3,50.7042,2.21759,3.11849,1.09312,0.64728,0.10121,0.1015,0.05687,2.09926,2.69409,1.07363,0.00057796,0.00057796,0.00057796
4,61.603,2.14009,2.60528,1.08042,0.47991,0.17991,0.11707,0.0641,2.01623,2.14954,1.07111,0.000579268,0.000579268,0.000579268
5,72.1446,2.0593,2.28336,1.06764,0.35818,0.19917,0.13463,0.0762,1.97723,1.97298,1.0587,0.000576358,0.000576358,0.000576358
6,83.4991,2.02917,2.09502,1.05813,0.46522,0.1752,0.15193,0.0899,1.88995,2.0741,1.05848,0.000573447,0.000573447,0.000573447
7,95.0693,1.96433,1.93775,1.04799,0.39112,0.23922,0.17077,0.1042,1.85859,1.83178,1.04151,0.000570536,0.000570536,0.000570536
8,105.919,1.89905,1.84626,1.03778,0.35721,0.28594,0.2164,0.13381,1.83141,1.68425,1.04509,0.000567626,0.000567626,0.000567626
9,116.626,1.91791,1.79252,1.02669,0.54201,0.27694,0.24885,0.15809,1.8169,1.67322,1.04081,0.000564715,0.000564715,0.000564715
10,127.427,1.87685,1.72373,1.02323,0.63661,0.28849,0.27866,0.17589,1.77621,1.57193,1.02544,0.000561805,0.000561805,0.000561805
11,138.272,1.8589,1.70883,1.01452,0.51363,0.31579,0.27701,0.17404,1.775,1.58136,1.02245,0.000558894,0.000558894,0.000558894
12,149.164,1.82317,1.6683,1.0178,0.44065,0.29684,0.28808,0.18499,1.7269,1.51979,1.01273,0.000555983,0.000555983,0.000555983
